,price,Style,Screen Size,Bluetooth,SpO2,Heart Rate monitor,Alarm clock,Distance tracker,sleep monitor,Activity tracker,Notifications,gps,bp monitor,Target Audience,Black,Blue,Gold,Green,Grey,Pink,Red,Rose Gold,Rose Golden,Silver,Round,Square
144,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
145,1899,1,1.4,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
146,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
147,1999,0,1.85,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
148,3499,1,1.78,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
149,2999,1,1.72,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
150,3499,0,1.69,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,0,1,0,0,0
151,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
152,3499,0,1.69,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
153,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
154,1999,0,1.85,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
155,1999,1,1.75,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
156,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
157,1499,1,1.3,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
158,1499,1,1.33,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
159,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
160,1999,0,1.85,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
161,3499,0,1.69,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
162,2499,0,1.69,1,1,1,1,0,1,0,1,0,0,"Unisex Children, Unisex Teen",0,1,0,0,0,0,0,0,0,0,0,0
163,2999,0,1.2,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
164,1999,1,1.75,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
165,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
166,1499,1,1.3,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,0,1,0,0,0
167,1499,1,1.33,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
168,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
169,2999,1,1.72,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
170,1999,0,1.85,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
171,1799,1,1.8,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
172,3499,0,1.69,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,1,0
173,1799,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
174,1299,1,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
175,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
176,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
177,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
178,1899,1,1.4,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
179,1999,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
180,1999,0,1.85,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
181,1999,0,1.38,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
182,1799,1,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
183,3499,0,1.69,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,1,0
184,11472,1,1.28,1,1,1,1,1,1,1,1,1,1,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
