,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
399,53900.0,GPS + CELLULAR,6,186,8,,14
400,83989.0,Modern,6,186,6,,419
401,83989.0,Modern,2,186,6,,419
402,77899.0,GPS + CELLULAR,14,186,8,,419
403,55900.0,GPS + CELLULAR,4,186,8,,14
404,46390.0,GPS,4,186,10,,14
405,55955.0,GPS + CELLULAR,3,186,8,,14
406,89899.0,Modern,14,186,6,,419
407,11900.0,Modern,1,4,317,,419
408,11454.0,Modern,1,4,317,,419
409,16999.0,Modern,1,12,317,,419
410,15999.0,Modern,30,12,317,,419
411,17999.0,Modern,4,12,2,,419
412,18225.0,Modern,1,12,317,,419
413,16999.0,With Offer,1,4,1,,419
414,15945.0,Modern,24,186,317,,419
415,24999.0,Modern,1,12,317,,419
416,15999.0,Modern,142,12,317,,419
417,16999.0,Modern,2,12,317,,419
418,19870.0,Modern,4,186,10,,419
419,11472.78459409594,Modern,5,186,1,,419
420,16999.0,Modern,1,186,317,,419
421,16999.0,Modern,1,12,317,,419
422,13495.0,Modern,1,1,317,,419
423,11472.78459409594,Modern,142,12,317,,419
424,24999.0,Modern,1,12,317,,419
425,11472.78459409594,Modern,142,4,1,,419
426,24949.0,Modern,1,12,317,,419
427,11472.78459409594,Modern,142,12,317,,419
428,8999.0,Modern,1,1,317,,419
429,5999.0,Modern,142,1,317,,419
430,5666.0,Modern,142,1,317,,419
431,5995.0,Up to 7 Days Battery*- Breeze through the week without worrying to charge.,142,4,317,,419
432,5995.0,Up to 7 Days Battery*- Breeze through the week without worrying to charge.,7,4,317,,419
433,5995.0,Up to 7 Days Battery*- Breeze through the week without worrying to charge.,14,4,317,,419
434,8995.0,Titan Smart,142,1,317,,419
435,9995.0,Modern,6,4,4,,419
436,11995.0,Titan Smart Pro,142,5,317,,419
437,5995.0,Up to 7 Days Battery*- Breeze through the week without worrying to charge.,24,4,317,,419
438,11995.0,Titan Smart Pro,30,5,317,,419
439,10495.0,Strap,4,186,317,,419
440,11995.0,Titan Smart Pro,24,5,317,,419
441,14995.0,Strap,24,4,4,,419
442,11995.0,Titan Smart Pro,14,5,2,,419
443,11472.78459409594,Modern,142,4,4,,419
444,11995.0,Titan Smart Pro,2,5,2,,419
445,14995.0,Modern,32,4,4,,419
446,5245.0,Modern,142,186,317,,419
447,8995.0,Modern,2,27,317,,419
448,4500.0,Modern,142,186,317,,419
449,5247.0,Modern,142,186,317,,419
450,11472.78459409594,Modern,142,186,317,,419
451,8995.0,Modern,142,27,317,,419
452,11995.0,Modern,142,2,317,,419
453,11472.78459409594,Modern,1,2,317,,419
454,11472.78459409594,Modern,14,186,317,,419
