,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
155,1999.0,ColorFit Ultra Buzz,Black,1.75 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
156,1999.0,ColorFit Pulse Grand,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
157,1499.0,ColorFit Pro 2,Deep Wine,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
158,1499.0,ColorFit Pro 2,Jet Black,1.33 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
159,1999.0,ColorFit Pulse Grand,Lime Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
160,1999.0,Modern,Pink,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
161,3499.0,Modern,Teal Green,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
162,2499.0,Modern,Frozen Blue,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
163,2999.0,Modern,Black,1.2 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
164,1999.0,ColorFit Ultra Buzz,Black,1.75 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
165,1999.0,ColorFit Pulse Grand,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
166,1499.0,ColorFit Pro 2,Deep Wine,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
167,1499.0,ColorFit Pro 2,Jet Black,1.33 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
168,1999.0,ColorFit Pulse Grand,Lime Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
169,2999.0,ColorFit Pro 4,Black,1.72 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
170,1999.0,Modern,Pink,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
171,1799.0,ColorFit Pulse 2,Grey,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
172,3499.0,Modern,Teal Green,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",round
173,1799.0,Modern,Black,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
174,1299.0,ColorFit Pulse Grand,Black,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
175,1799.0,Strap,Pink,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
176,1799.0,Strap,Grey,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
177,1799.0,Strap,Blue,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
178,1899.0,ColorFit Pulse,Jet Black,1.4 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
179,1999.0,ColorFit Pulse Grand,Pink,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
